County_Name,Region,RUCC_2013,Description
Donley County,1,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Duval County,11,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Eastland County,2,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Ector County,9,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Edwards County,8,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Ellis County,3,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
El Paso County,10,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Erath County,3,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Falls County,7,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Fannin County,3,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Fayette County,7,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Fisher County,2,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Floyd County,1,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Foard County,2,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Fort Bend County,6,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Franklin County,4,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Freestone County,7,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Frio County,8,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Gaines County,9,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Galveston County,6,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Garza County,1,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Gillespie County,8,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Glasscock County,9,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Goliad County,8,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Gonzales County,8,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Gray County,1,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Grayson County,3,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Gregg County,4,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Grimes County,7,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Guadalupe County,8,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Hale County,1,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Hall County,1,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Hamilton County,7,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Hansford County,1,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Hardeman County,2,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Hardin County,5,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Harris County,6,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Harrison County,4,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Hartley County,1,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Haskell County,2,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Hays County,7,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Hemphill County,1,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Henderson County,4,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Hidalgo County,11,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Hill County,7,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Hockley County,1,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Hood County,3,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Hopkins County,4,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
